cell_id,WBP5,ITGA5,LAMC2,VIM,KRT14,KRT17,is_cancer,site,non_cancer_type,compartment,patient,WBP5_detected,ITGA5_detected,LAMC2_detected,VIM_detected,KRT14_detected,KRT17_detected
HNSCC28_P13_F08_S260_comb,5.4052,5.9536,0.048236,7.3687,0,0,0,Lymph node,Fibroblast,Fibroblast,28,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P13_C04_S220_comb,2.5388,0,2.7519,0,11.255,4.0473,1,Lymph node,0,Cancer cells,28,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P1_H11_S95_comb,0,0,6.6665,9.0077,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P2_E12_S60_comb,4.0201,0,4.0384,0,12.471,8.3623,1,Primary,0,Cancer cells,28,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P1_G03_S75_comb,0,0,0,7.9714,0.54003,0,0,Primary,Endothelial,Endothelial,28,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
HNSCC28_P12_A08_S200_comb,0,0,0.2302,9.5506,0,0,0,Lymph node,Fibroblast,Fibroblast,28,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
HNSCC28_P2_F09_S69_comb,3.7297,0.81885,6.1879,2.7398,11.758,9.5092,1,Primary,0,Cancer cells,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HNSCC28_P12_G08_S272_comb,1.6973,0,0,8.6419,0.27143,0,0,Lymph node,Fibroblast,Fibroblast,28,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
HNSCC28_P2_F08_S68_comb,0,0,0,8.5092,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_A09_S9_comb,1.6731,1.6178,6.5824,0,12.425,11.93,1,Primary,0,Cancer cells,28,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
HNSCC28_P1_A08_S8_comb,4.217,6.0565,0.092207,8.7143,0.26664,0.27739,0,Primary,Endothelial,Endothelial,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HNSCC28_P2_H02_S86_comb,0,0,0,10.644,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P1_B10_S22_comb,0,0,0,9.4528,0,0,0,Primary,Fibroblast,Fibroblast,28,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
HNSCC28_P12_B09_S213_comb,2.5673,0,2.0824,0,12.112,6.9336,1,Lymph node,0,Cancer cells,28,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
