cell_id,WBP5,is_cancer,site,non_cancer_type,compartment,patient,detected
HNSCC18_P3_A02_S290_comb,0,0,Primary,Mast,Mast,18,FALSE
HNSCC_17_P9_D09_S45_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P7_E09_S153_comb,4.5032,0,Primary,Fibroblast,Fibroblast,18,TRUE
HNSCC18_P3_F06_S354_comb,0,0,Primary,0,0,18,FALSE
HNSCC_17_P9_F06_S66_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P13_B02_S302_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC16_P2_A06_S6_comb,5.0482,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC17_P13_H10_S382_comb,0,0,Primary,T cell,T cell,17,FALSE
HNSCC17_P3_D03_S231_comb,3.4687,1,Primary,0,Cancer cells,17,TRUE
HNSCC17_P3_C01_S217_comb,3.0808,1,Primary,0,Cancer cells,17,TRUE
HNSCC16_P9_H06_S282_comb,0,0,Primary,Fibroblast,Fibroblast,16,FALSE
HNSCC18_P2_A03_S99_comb,3.2356,1,Primary,0,Cancer cells,18,TRUE
HNSCC17_P7_C12_S132_comb,5.5398,0,Primary,Fibroblast,Fibroblast,17,TRUE
HNSCC18_P2_C09_S129_comb,0,0,Primary,0,0,18,FALSE
HNSCC_17_P10_D09_S237_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P7_D05_S137_comb,6.5728,0,Primary,Fibroblast,Fibroblast,17,TRUE
HNSCC_17_P10_A05_S197_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P2_B03_S15_comb,3.557,1,Primary,0,Cancer cells,17,TRUE
HNSCC17_P3_C11_S227_comb,3.433,1,Primary,0,Cancer cells,17,TRUE
HNSCC18_P13_F09_S357_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC17_P7_G03_S171_comb,0,0,Primary,Fibroblast,Fibroblast,17,FALSE
HNSCC16_P9_H10_S286_comb,0,0,Primary,Endothelial,Endothelial,16,FALSE
HNSCC16_P9_B11_S215_comb,0,0,Primary,T cell,T cell,16,FALSE
HNSCC_17_P10_C06_S222_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC_17_P10_B02_S206_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC_17_P9_F07_S67_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P7_H01_S181_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC_17_P10_D10_S238_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC17_P3_E12_S252_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC17_P2_C11_S35_comb,0,1,Primary,0,Cancer cells,17,FALSE
HNSCC_17_P10_B04_S208_comb,0,0,Primary,T cell,T cell,,FALSE
HNSCC18_P13_H08_S380_comb,0,0,Primary,T cell,T cell,18,FALSE
HNSCC16_P2_G07_S79_comb,5.5185,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC16_P2_C12_S36_comb,5.7598,0,Primary,Fibroblast,Fibroblast,16,TRUE
HNSCC17_P3_B10_S214_comb,0.7433,1,Primary,0,Cancer cells,17,TRUE
HNSCC_17_P10_C04_S220_comb,0,0,Primary,T cell,T cell,,FALSE
